Data;Ta_Base
24/09/2015 09:55;28.9
24/09/2015 10:00;29
24/09/2015 10:05;29.2
24/09/2015 10:10;29.5
24/09/2015 10:15;29.7
24/09/2015 10:20;30
24/09/2015 10:25;30.1
24/09/2015 10:30;30.2
24/09/2015 10:35;30.5
24/09/2015 10:40;30.7
24/09/2015 10:45;31.2
24/09/2015 10:50;31.4
24/09/2015 10:55;31.5
24/09/2015 11:00;31.7
24/09/2015 11:05;31.9
24/09/2015 11:10;31.8
24/09/2015 11:15;31.9
24/09/2015 11:20;32.1
24/09/2015 11:25;32.2
24/09/2015 11:30;32.1
24/09/2015 11:35;32
24/09/2015 11:40;33
24/09/2015 11:45;33.1
24/09/2015 11:50;32.8
24/09/2015 11:55;33
24/09/2015 12:00;33.1
24/09/2015 12:05;33.5
24/09/2015 12:10;33.6
24/09/2015 12:15;34
24/09/2015 12:20;33.9
24/09/2015 12:25;33.6
24/09/2015 12:30;33.9
24/09/2015 12:35;33.9
24/09/2015 12:40;34.4
24/09/2015 12:45;34.5
24/09/2015 12:50;34.3
24/09/2015 12:55;33.6
24/09/2015 13:00;34.9
24/09/2015 13:05;34.1
24/09/2015 13:10;34.2
24/09/2015 13:15;34.3
24/09/2015 13:20;34.4
24/09/2015 13:25;35.1
24/09/2015 13:30;34.3
24/09/2015 13:35;34.4
24/09/2015 13:40;34.9
24/09/2015 13:45;34.9
24/09/2015 13:50;35.1
24/09/2015 13:55;35
24/09/2015 14:00;35.1
24/09/2015 14:05;35.6
24/09/2015 14:10;35.7
24/09/2015 14:15;35.6
24/09/2015 14:20;34.8
24/09/2015 14:25;34.8
24/09/2015 14:30;35.1
24/09/2015 14:35;35.4
24/09/2015 14:40;35.6
24/09/2015 14:45;34.6
24/09/2015 14:50;35.3
24/09/2015 14:55;35.6
24/09/2015 15:00;35
24/09/2015 15:05;35.4
24/09/2015 15:10;35.4
24/09/2015 15:15;35.9
24/09/2015 15:20;35.7
24/09/2015 15:25;34.8
24/09/2015 15:30;34.9
24/09/2015 15:35;34.7
24/09/2015 15:40;34.7
24/09/2015 15:45;34.7
24/09/2015 15:50;34.7
24/09/2015 15:55;34.8
24/09/2015 16:00;34.7
24/09/2015 16:05;34.6
24/09/2015 16:10;34.6
24/09/2015 16:15;34.3
24/09/2015 16:20;34.2
24/09/2015 16:25;34.2
24/09/2015 16:30;34.1
24/09/2015 16:35;34.1
24/09/2015 16:40;34.1
24/09/2015 16:45;33.9
24/09/2015 16:50;33.7
24/09/2015 16:55;33.4
24/09/2015 17:00;33.3
24/09/2015 17:05;33.1
24/09/2015 17:10;33
24/09/2015 17:15;32.9
24/09/2015 17:20;32.7
