Data;Dm G;Sm m/s;Ta_TOPO;Ta_Pasto
24/09/2015 09:36;301;1.6;27.2;
24/09/2015 09:38;265;1.7;27.4;
24/09/2015 09:40;276;1.8;27.5;
24/09/2015 09:42;256;0.6;27.6;
24/09/2015 09:44;270;1.2;27.7;
24/09/2015 09:46;299;1.5;27.8;
24/09/2015 09:48;288;1.3;27.9;
24/09/2015 09:50;272;1.6;28;
24/09/2015 09:52;285;2.6;28;
24/09/2015 09:54;310;1.9;28.1;
24/09/2015 09:56;286;1.1;28.2;
24/09/2015 09:58;294;2.9;28.1;
24/09/2015 10:00;293;2.8;28;
24/09/2015 10:02;291;2;28.1;
24/09/2015 10:04;269;2.7;28.1;
24/09/2015 10:06;254;1.1;28.2;
24/09/2015 10:08;220;0.6;28.4;
24/09/2015 10:10;228;0.7;28.6;
24/09/2015 10:12;247;1.7;28.7;
24/09/2015 10:14;253;1.1;28.7;
24/09/2015 10:16;269;2.4;28.6;28.8
24/09/2015 10:18;307;2.2;28.6;28.8
24/09/2015 10:20;275;1.3;28.6;28.7
24/09/2015 10:22;282;1.6;28.8;28.7
24/09/2015 10:24;276;2.3;28.8;28.8
24/09/2015 10:26;288;2.8;28.7;29
24/09/2015 10:28;275;1.9;28.8;29.1
24/09/2015 10:30;275;1.8;29;29
24/09/2015 10:32;290;1.9;29;28.9
24/09/2015 10:34;283;1.5;29;29
24/09/2015 10:36;259;1.8;29.1;29.4
24/09/2015 10:38;304;2;29.1;29.5
24/09/2015 10:40;296;2.6;29.1;29.4
24/09/2015 10:42;258;1.8;29.2;29.5
24/09/2015 10:44;277;1.7;29.2;29.6
24/09/2015 10:46;299;1.9;29.3;29.4
24/09/2015 10:48;293;0.8;29.5;29.3
24/09/2015 10:50;234;1.1;29.7;29.2
24/09/2015 10:52;255;1.1;29.7;29.7
24/09/2015 10:54;285;1.5;29.7;30.1
24/09/2015 10:56;277;0.9;29.8;29.8
24/09/2015 10:58;307;1.2;29.9;29.6
24/09/2015 11:00;335;1.5;29.9;29.8
24/09/2015 11:02;281;1.2;30.1;30.1
24/09/2015 11:04;297;2.1;30.2;30.2
24/09/2015 11:06;268;1.7;30.2;30.3
24/09/2015 11:08;279;2.6;30.2;30.6
24/09/2015 11:10;278;2.2;30.3;30.7
24/09/2015 11:12;278;2.2;30.4;30.7
24/09/2015 11:14;290;2.4;30.4;30.6
24/09/2015 11:16;270;1.8;30.4;30.5
24/09/2015 11:18;276;2.6;30.4;30.6
24/09/2015 11:20;270;2.5;30.4;30.8
24/09/2015 11:22;274;2.9;30.4;30.9
24/09/2015 11:24;276;2.1;30.5;30.9
24/09/2015 11:26;279;2;30.6;30.8
24/09/2015 11:28;282;3.4;30.6;30.8
24/09/2015 11:30;271;2.9;30.5;30.9
24/09/2015 11:32;276;2.9;30.6;30.9
24/09/2015 11:34;299;4.1;30.6;30.8
24/09/2015 11:36;303;3.4;30.5;30.9
24/09/2015 11:38;274;1.9;30.7;31.1
24/09/2015 11:40;272;2.3;31;31.1
24/09/2015 11:42;283;1.4;31.1;31.1
24/09/2015 11:44;287;3.2;31.1;31.2
24/09/2015 11:46;300;2.5;31.1;31.3
24/09/2015 11:48;287;3.2;31;31.2
24/09/2015 11:50;293;2.7;31;31.2
24/09/2015 11:52;290;2.9;31.1;31.1
24/09/2015 11:54;296;2.4;31.2;31.2
24/09/2015 11:56;301;2.3;31.2;31.4
24/09/2015 11:58;278;2.6;31.3;31.4
24/09/2015 12:00;274;2.4;31.3;31.6
24/09/2015 12:02;287;2.3;31.4;31.6
24/09/2015 12:04;274;1.9;31.5;31.8
24/09/2015 12:06;284;2.9;31.5;31.7
24/09/2015 12:08;277;2.9;31.4;31.6
24/09/2015 12:10;278;2;31.5;31.6
24/09/2015 12:12;267;2.1;31.7;31.6
24/09/2015 12:14;270;1.9;31.8;31.4
24/09/2015 12:16;281;2.7;31.7;31.4
24/09/2015 12:18;266;2;31.7;31.5
24/09/2015 12:20;256;2.2;31.6;31.6
24/09/2015 12:22;280;2.5;31.6;31.5
24/09/2015 12:24;285;2.4;31.7;31.5
24/09/2015 12:26;270;2.6;31.8;31.6
